RANK,TITLE,WORLDWIDE_LIFETIME_GROSS,DOMESTIC_LIFETIME_GROSS,DOMESTIC_PERCENTAGE,FOREIGN_LIFETIME_GROSS,FOREIGN_PERCENTAGE,YEAR,MPAA
399,Rain Man,354825435,172825435,0.48700000000000004,182000000,0.513,1988,
400,The Great Gatsby,353659851,144857996,0.41,208801855,0.59,2013,PG-13
401,Dumbo,353284621,114766307,0.325,238518314,0.675,2019,PG
402,"I, Robot",353133898,144801023,0.41,208332875,0.59,2004,PG-13
403,Basic Instinct,352927224,117727224,0.33399999999999996,235200000,0.6659999999999999,1992,R
404,Murder on the Orient Express,352794081,102826543,0.292,249967538,0.708,2017,PG-13
405,X-Men: First Class,352616690,146408305,0.415,206208385,0.585,2011,PG-13
406,The Angry Birds Movie,352333929,107509366,0.305,244824563,0.695,2016,PG
407,GoldenEye,352194034,106429941,0.302,245764093,0.698,1995,PG-13
408,Catch Me If You Can,352114312,164615351,0.46799999999999997,187498961,0.532,2002,PG-13
409,Now You See Me,351723989,117723989,0.335,234000000,0.665,2013,PG-13
410,Hannibal,351692268,165092268,0.469,186600000,0.531,2001,R
411,The Mask,351583407,119938730,0.341,231644677,0.659,1994,PG-13
412,Peter Rabbit,351496066,115253424,0.32799999999999996,236242642,0.672,2018,PG
413,Speed,350448145,121248145,0.34600000000000003,229200000,0.654,1994,R
414,Dinosaur,349822765,137748063,0.39399999999999996,212074702,0.606,2000,PG
415,Mary Poppins Returns,349546142,171958438,0.49200000000000005,177587704,0.508,2018,PG
416,Deep Impact,349464664,140464664,0.402,209000000,0.598,1998,PG-13
417,The Lorax,349183316,214373500,0.614,134809816,0.386,2012,PG
418,The Maze Runner,348319861,102427862,0.294,245891999,0.706,2014,PG-13
419,The Smurfs 2,347545360,71017784,0.204,276527576,0.7959999999999999,2013,PG
420,National Treasure,347512318,173008894,0.498,174503424,0.502,2004,PG
421,Rush Hour 2,347325802,226164286,0.6509999999999999,121161516,0.349,2001,PG-13
422,Trolls,347182886,154025064,0.444,193157822,0.556,2016,PG
423,xXx: Return of Xander Cage,346118277,44898413,0.13,301219864,0.87,2017,PG-13
424,Pocahontas,346079773,141579773,0.409,204500000,0.591,1995,G
425,How the Grinch Stole Christmas,345823032,260715005,0.754,85108027,0.24600000000000002,2000,PG
426,Star Trek Beyond,343471816,158848340,0.462,184623476,0.5379999999999999,2016,PG-13
427,Alvin and the Chipmunks: Chipwrecked,342695435,133110742,0.38799999999999996,209584693,0.612,2011,G
428,Wanted,342463063,134508551,0.39299999999999996,207954512,0.607,2008,R
429,The Flintstones,341631208,130531208,0.382,211100000,0.618,1994,PG
430,A Quiet Place,340952971,188024361,0.552,152928610,0.44799999999999995,2018,PG-13
431,Enchanted,340487836,127807262,0.375,212680574,0.625,2007,PG
432,Over the Hedge,339795890,155019340,0.456,184776550,0.544,2006,PG
433,Uncharted,338651703,127251703,0.376,211400000,0.624,2022,PG-13
434,300: Rise of an Empire,337580051,106580051,0.316,231000000,0.684,2014,R
435,Batman Forever,336567158,184069126,0.547,152498032,0.45299999999999996,1995,PG-13
436,Prince of Persia: The Sands of Time,336365676,90759676,0.27,245606000,0.73,2009,PG-13
437,The Curious Case of Benjamin Button,335802786,127509326,0.38,208293460,0.62,2008,PG-13
438,Journey 2: The Mysterious Island,335287748,103887748,0.31,231400000,0.69,2012,PG
439,The Rock,335062621,134069511,0.4,200993110,0.6,1996,R
440,The Great Wall,334933831,45540830,0.136,289393001,0.8640000000000001,2016,PG-13
441,Now You See Me 2,334897606,65075540,0.19399999999999998,269822066,0.8059999999999999,2016,PG-13
442,Never Say Die,334530869,,,334530869,1.0,2017,
443,Fantastic Four,333535934,154696080,0.46399999999999997,178839854,0.536,2005,PG-13
444,Indiana Jones and the Temple of Doom,333107271,179870271,0.54,153237000,0.46,1984,
445,Tomorrow Never Dies,333011068,125304276,0.376,207706792,0.624,1997,PG-13
446,Back to the Future Part II,332500002,119000002,0.358,213500000,0.642,1989,
447,The Good Dinosaur,332207671,123087120,0.37,209120551,0.63,2015,PG
448,Free Guy,331526598,121626598,0.36700000000000005,209900000,0.633,2021,PG-13
449,22 Jump Street,331333876,191719337,0.579,139614539,0.42100000000000004,2014,R
450,Meet the Parents,330444045,166244045,0.503,164200000,0.49700000000000005,2000,PG-13
451,Who Framed Roger Rabbit,329803958,156452370,0.474,173351588,0.526,1988,
452,Black Swan,329398046,106954678,0.325,222443368,0.675,2010,R
453,The Perfect Storm,328718434,182618434,0.556,146100000,0.444,2000,PG-13
454,Crocodile Dundee,328203506,174803506,0.5329999999999999,153400000,0.467,1986,
455,Crazy Alien,327598891,,,327598891,1.0,2019,
456,Se7en,327333559,100125643,0.306,227207916,0.6940000000000001,1995,R
457,John Wick: Chapter 3 - Parabellum,327281779,171015687,0.522,156266092,0.478,2019,R
458,The Devil Wears Prada,326706115,124740460,0.382,201965655,0.618,2006,PG-13
459,Taken 3,326479141,89256424,0.273,237222717,0.727,2015,PG-13
460,The Hunchback of Notre Dame,325338851,100138851,0.308,225200000,0.6920000000000001,1996,
461,A Christmas Carol,325286646,137855863,0.424,187430783,0.5760000000000001,2009,PG
462,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,0.501,162192000,0.499,2015,PG
463,Schindler's List,322161245,96898818,0.301,225262427,0.6990000000000001,1993,R
464,Megamind,321885765,148415853,0.461,173469912,0.539,2010,PG
465,The Conjuring 2,321834351,102516140,0.318,219318211,0.682,2016,R
466,Green Book,321752656,85080171,0.264,236672485,0.736,2018,PG-13
467,Lethal Weapon 3,321731527,144731527,0.45,177000000,0.55,1992,R
468,The Ugly Truth,321682600,88915214,0.276,232767386,0.7240000000000001,2009,R
469,Robin Hood,321669741,105269730,0.327,216400011,0.6729999999999999,2010,PG-13
470,Inglourious Basterds,321457747,120540719,0.375,200917028,0.625,2009,R
471,101 Dalmatians,320689294,136189294,0.425,184500000,0.575,1996,
472,The Conjuring,320406242,137446368,0.429,182959874,0.5710000000000001,2013,R
473,Fatal Attraction,320145693,156645693,0.489,163500000,0.511,1987,
474,Sonic the Hedgehog,319715683,148974665,0.466,170741018,0.534,2020,PG
475,The Last Airbender,319713881,131772187,0.41200000000000003,187941694,0.588,2010,PG
476,The Proposal,317375031,163958031,0.517,153417000,0.483,2009,PG-13
477,A Beautiful Mind,316791257,170742341,0.539,146048916,0.461,2001,PG-13
478,Beverly Hills Cop,316360478,234760478,0.742,81600000,0.258,1984,
479,The Polar Express,315249768,188969804,0.599,126279964,0.401,2004,
480,Air Force One,315156409,172956409,0.5489999999999999,142200000,0.451,1997,R
481,The Expendables 2,314975955,85028192,0.27,229947763,0.73,2012,R
482,Chicken Little,314432837,135386665,0.431,179046172,0.569,2005,G
483,As Good as It Gets,314178011,148478011,0.473,165700000,0.527,1997,PG-13
484,Maze Runner: The Scorch Trials,312296056,81697192,0.262,230598864,0.738,2015,PG-13
485,Resident Evil: The Final Chapter,312242626,26830068,0.086,285412558,0.914,2016,R
486,The Lego Batman Movie,312136671,175936671,0.564,136200000,0.436,2017,PG
487,Austin Powers: The Spy Who Shagged Me,312016928,206040086,0.66,105976842,0.34,1999,PG-13
488,Knives Out,311605581,165363234,0.531,146242347,0.469,2019,PG-13
489,Ocean's Thirteen,311312624,117154724,0.376,194157900,0.624,2007,PG-13
490,Little Fockers,310650585,148438600,0.478,162211985,0.522,2010,PG-13
491,Bolt,309979994,114053579,0.368,195926415,0.632,2008,PG
492,Ransom,309492681,136492681,0.441,173000000,0.5589999999999999,1996,R
493,Runaway Bride,309460292,152257509,0.49200000000000005,157202783,0.508,1999,PG
494,The Blind Side,309231694,255982860,0.828,53248834,0.172,2009,PG-13
495,The Ex-File 3: The Return of The Exes,307592427,838959,0.003,306753468,0.997,2017,
496,The Fault in Our Stars,307166834,124872350,0.406,182294484,0.594,2014,PG-13
497,The Pursuit of Happyness,307127625,163566459,0.5329999999999999,143561166,0.467,2006,PG-13
498,Rise of the Guardians,306941670,103412758,0.337,203528912,0.6629999999999999,2012,PG
499,Close Encounters of the Third Kind,306889114,135189114,0.44,171700000,0.56,1977,
500,Chicago,306776732,170687518,0.556,136089214,0.444,2002,PG-13
501,Annabelle: Creation,306515884,102092201,0.33299999999999996,204423683,0.667,2017,R
502,Wonder,306209289,132422809,0.43200000000000005,173786480,0.568,2017,PG
503,Skyscraper,304868961,68420120,0.22399999999999998,236448841,0.7759999999999999,2018,PG-13
504,A Good Day to Die Hard,304654182,67349198,0.221,237304984,0.779,2013,R
505,Mulan,304320254,120620254,0.396,183700000,0.604,1998,
506,Dangal,303723636,12391761,0.040999999999999995,291331875,0.9590000000000001,2016,
507,Passengers,303144152,100014699,0.33,203129453,0.67,2016,PG-13
508,Battleship,303025485,65422625,0.21600000000000003,237602860,0.784,2012,PG-13
509,Liar Liar,302710615,181410615,0.599,121300000,0.401,1997,PG-13
510,G.I. Joe: The Rise of Cobra,302469017,150201498,0.49700000000000005,152267519,0.503,2009,PG-13
511,Wrath of the Titans,301970083,83670083,0.27699999999999997,218300000,0.723,2012,PG-13
512,Fantastic 4: Rise of the Silver Surfer,301913131,131921738,0.43700000000000006,169991393,0.563,2007,PG
513,Hook,300854823,119654823,0.39799999999999996,181200000,0.602,1991,
514,Superman,300478449,134478449,0.44799999999999995,166000000,0.552,1978,PG
515,Rocky IV,300473716,127873716,0.426,172600000,0.574,1985,PG
516,Rambo: First Blood Part II,300400432,150415432,0.501,149985000,0.499,1985,
517,Resident Evil: Afterlife,300228084,60128566,0.2,240099518,0.8,2010,R
518,Van Helsing,300157638,120177084,0.4,179980554,0.6,2004,PG-13
519,Stuart Little,300135367,140035367,0.467,160100000,0.5329999999999999,1999,PG
520,Beverly Hills Cop II,299965036,153665036,0.512,146300000,0.488,1987,
521,Alice Through the Looking Glass,299820798,77041381,0.257,222779417,0.743,2016,PG
522,My Best Friend's Wedding,299288605,127120029,0.425,172168576,0.575,1997,PG-13
523,Real Steel,299268508,85468508,0.28600000000000003,213800000,0.7140000000000001,2011,PG-13
524,Horton Hears a Who!,298572799,154529439,0.518,144043360,0.48200000000000004,2008,
525,Ocean's Eight,297795726,140295726,0.47100000000000003,157500000,0.529,2018,PG-13
526,A Quiet Place Part II,297372261,160072261,0.5379999999999999,137300000,0.462,2021,PG-13
527,The Divergent Series: Insurgent,297002527,130179072,0.43799999999999994,166823455,0.562,2015,PG-13
528,Look Who's Talking,296999813,140088813,0.47200000000000003,156911000,0.528,1989,
529,Austin Powers in Goldmember,296938801,213307889,0.718,83630912,0.282,2002,PG-13
530,Ghostbusters,296578797,243578797,0.821,53000000,0.179,1984,
531,Miss Peregrine's Home for Peculiar Children,296482446,87242834,0.294,209239612,0.706,2016,PG-13
532,X-Men,296339528,157299718,0.531,139039810,0.469,2000,PG-13
533,Ferdinand,296069199,84410380,0.285,211658819,0.715,2017,PG
